# Wavelength(um),Tapvolt(V),Power(W)
1.567000000000005072e-06,2.556751514017380766e-01,1.676923600000000073e-03
1.568000000000005147e-06,2.562782607902391874e-01,1.678272850000000040e-03
1.569000000000005222e-06,2.607859641236608406e-01,1.701076400000000070e-03
1.570000000000005297e-06,2.670564663862144972e-01,1.740658539999999973e-03
1.571000000000005372e-06,2.677307381795786534e-01,1.743652860000000082e-03
1.572000000000005447e-06,2.675087179304866947e-01,1.740160400000000064e-03
1.573000000000005522e-06,2.600371489143868953e-01,1.692813590000000071e-03
1.574000000000005598e-06,2.557532368404383805e-01,1.665208139999999927e-03
1.575000000000005673e-06,2.666979173691857441e-01,1.728039349999999910e-03
1.576000000000005748e-06,2.686368512777488338e-01,1.740728499999999934e-03
1.577000000000005823e-06,2.679724005392200570e-01,1.740621049999999939e-03
1.578000000000005898e-06,2.620036139691551136e-01,1.695459590000000100e-03
1.579000000000005973e-06,2.627643432463855899e-01,1.701602250000000061e-03
1.580000000000006048e-06,2.661376342174690546e-01,1.728665199999999957e-03
1.581000000000006123e-06,2.653287656677774664e-01,1.722745359999999998e-03
1.582000000000006199e-06,2.695400663601607016e-01,1.746748110000000001e-03
1.583000000000006274e-06,2.686685684562106213e-01,1.746319930000000053e-03
1.584000000000006349e-06,2.655976371800697899e-01,1.721678300000000026e-03
1.585000000000006424e-06,2.613216141349063992e-01,1.688185260000000078e-03
1.586000000000006499e-06,2.564690468621967923e-01,1.662442110000000080e-03
1.587000000000006574e-06,2.655549719400876474e-01,1.722424989999999908e-03
1.588000000000006649e-06,2.698947513561311129e-01,1.745938440000000024e-03
1.589000000000006724e-06,2.704741936170930727e-01,1.748846610000000029e-03
1.590000000000006800e-06,2.684455822015455739e-01,1.735543480000000015e-03
1.591000000000006875e-06,2.700816734080581094e-01,1.735761989999999892e-03
1.592000000000006950e-06,2.703238187708013607e-01,1.733501439999999899e-03
1.593000000000007025e-06,2.704600255373601492e-01,1.733751499999999909e-03
1.594000000000007100e-06,2.735613859949751481e-01,1.751239880000000091e-03
1.595000000000007175e-06,2.754811608047477156e-01,1.758448550000000100e-03
1.596000000000007250e-06,2.742768740234148295e-01,1.749882240000000038e-03
1.597000000000007326e-06,2.669041595293970004e-01,1.704422059999999902e-03
1.598000000000007401e-06,2.711425083785028445e-01,1.723744090000000001e-03
1.599000000000007476e-06,2.769860362801273013e-01,1.757555760000000054e-03
1.600000000000007551e-06,2.788612138432494114e-01,1.775156240000000081e-03
1.601000000000007626e-06,2.802567697062147700e-01,1.785040369999999930e-03
1.602000000000007701e-06,2.764928905025821337e-01,1.758998730000000017e-03
1.603000000000007776e-06,2.751535239597279192e-01,1.760039940000000065e-03
1.604000000000007851e-06,2.729748596928961990e-01,1.746705029999999969e-03
1.605000000000007927e-06,2.704733886125684772e-01,1.728310719999999988e-03
1.606000000000008002e-06,2.768334074204582551e-01,1.769744670000000103e-03
1.607000000000008077e-06,2.792340919440166047e-01,1.788006159999999982e-03
1.608000000000008152e-06,2.775947807089912400e-01,1.778989799999999974e-03
1.609000000000008227e-06,2.742528848883409864e-01,1.761851949999999932e-03
1.610000000000008302e-06,2.669748389270085731e-01,1.721253619999999970e-03
1.611000000000008377e-06,2.757043080614039465e-01,1.780772230000000076e-03
1.612000000000008452e-06,2.779845639046507610e-01,1.794431939999999908e-03
1.613000000000008528e-06,2.801102588806635429e-01,1.807741700000000101e-03
1.614000000000008603e-06,2.795089204924463000e-01,1.806101650000000065e-03
1.615000000000008678e-06,2.706427615658020813e-01,1.742843769999999955e-03
