# Wavelength(um),Tapvolt(V),Power(W)
1.571000000000005372e-06,2.679617744794340339e-01,3.106308730000000018e-02
1.572000000000005447e-06,2.677878935011392958e-01,3.121194990000000086e-02
1.573000000000005522e-06,2.599036791641627375e-01,3.118978440000000005e-02
1.574000000000005598e-06,2.565757904619570540e-01,3.124561910000000012e-02
1.575000000000005673e-06,2.665626766084001065e-01,3.148351609999999745e-02
1.576000000000005748e-06,2.689358299600416169e-01,3.167844940000000276e-02
1.577000000000005823e-06,2.681404854849218644e-01,3.175327929999999937e-02
1.578000000000005898e-06,2.614959781151632856e-01,3.166497129999999716e-02
1.579000000000005973e-06,2.628435556917801397e-01,3.182575850000000234e-02
1.580000000000006048e-06,2.661215341269012047e-01,3.192752229999999691e-02
1.581000000000006123e-06,2.658236824515222696e-01,3.199182450000000177e-02
1.582000000000006199e-06,2.696538940007011109e-01,3.211195020000000289e-02
1.583000000000006274e-06,2.685445977586704003e-01,3.212671730000000309e-02
1.584000000000006349e-06,2.660780638823925792e-01,3.212470189999999670e-02
1.585000000000006424e-06,2.615684285224897931e-01,3.201818089999999839e-02
1.586000000000006499e-06,2.571521737006200459e-01,3.198106209999999894e-02
1.587000000000006574e-06,2.655193907399513442e-01,3.209198640000000130e-02
1.588000000000006649e-06,2.699469156496800970e-01,3.217576070000000010e-02
1.589000000000006724e-06,2.705635491199844811e-01,3.218770769999999837e-02
1.590000000000006800e-06,2.682547961280869475e-01,3.206169610000000197e-02
1.591000000000006875e-06,2.702512073621556876e-01,3.200748560000000326e-02
1.592000000000006950e-06,2.703735680507851624e-01,3.195434440000000098e-02
1.593000000000007025e-06,2.711351023368144264e-01,3.190192210000000056e-02
1.594000000000007100e-06,2.733375947350292767e-01,3.184537960000000112e-02
1.595000000000007175e-06,2.758025186144844598e-01,3.171439100000000150e-02
1.596000000000007250e-06,2.743599504911800602e-01,3.159942479999999776e-02
1.597000000000007326e-06,2.673628511098542493e-01,3.127680719999999942e-02
1.598000000000007401e-06,2.713476235329982944e-01,3.118000370000000021e-02
1.599000000000007476e-06,2.770889158595917778e-01,3.113979659999999844e-02
1.600000000000007551e-06,2.792076877952660574e-01,3.090464509999999929e-02
1.601000000000007626e-06,2.799080417412538879e-01,3.079316390000000001e-02
1.602000000000007701e-06,2.769536750978499051e-01,3.050062250000000127e-02
1.603000000000007776e-06,2.750731845073194903e-01,3.017252310000000104e-02
1.604000000000007851e-06,2.734663954601732061e-01,2.982755559999999972e-02
1.605000000000007927e-06,2.706714197270932432e-01,2.947773039999999900e-02
1.606000000000008002e-06,2.773449073014982447e-01,2.934491259999999838e-02
1.607000000000008077e-06,2.790080466704799034e-01,2.898755670000000007e-02
1.608000000000008152e-06,2.773835475191431810e-01,2.845507859999999931e-02
1.609000000000008227e-06,2.738141574181319760e-01,2.809872479999999881e-02
1.610000000000008302e-06,2.676075724866405214e-01,2.746736259999999971e-02
1.611000000000008377e-06,2.761019803009783224e-01,2.719769810000000065e-02
1.612000000000008452e-06,2.780678013735444210e-01,2.676760590000000148e-02
1.613000000000008528e-06,2.802912239003541028e-01,2.621348760000000166e-02
1.614000000000008603e-06,2.791094772419322467e-01,2.568582070000000050e-02
1.615000000000008678e-06,2.709998615756347706e-01,2.482221830000000060e-02
1.616000000000008753e-06,2.636372901550396719e-01,2.395788949999999931e-02
1.617000000000008828e-06,2.671793100772943408e-01,2.333607899999999916e-02
1.618000000000008903e-06,2.632315678735676068e-01,2.245827759999999979e-02
1.619000000000008978e-06,2.663115151955649518e-01,2.193193699999999857e-02
1.620000000000009053e-06,2.521369955276809849e-01,2.073544639999999953e-02
